Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.26%
Reliance Industries Ltd.,Energy,Equity,6.13%
HDFC Bank Ltd.,Financial,Equity,5.53%
Larsen & Toubro Ltd.,Construction,Equity,4.52%
ITC Ltd.,Consumer Staples,Equity,3.87%
Bharti Airtel Ltd.,Communication,Equity,2.91%
Axis Bank Ltd.,Financial,Equity,2.85%
Infosys Ltd.,Technology,Equity,2.80%
State Bank of India,Financial,Equity,2.80%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.54%
NTPC Ltd.,Energy,Equity,2.44%
Tata Consultancy Services Ltd.,Technology,Equity,2.40%
HCL Technologies Ltd.,Technology,Equity,2.35%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.08%
Maruti Suzuki India Ltd.,Automobile,Equity,2.07%
Bajaj Finance Ltd.,Financial,Equity,1.56%
Bajaj Finserv Ltd.,Financial,Equity,1.36%
TVS Motor Company Ltd.,Automobile,Equity,1.29%
Britannia Industries Ltd.,Consumer Staples,Equity,1.28%
Ultratech Cement Ltd.,Construction,Equity,1.23%
Bharat Electronics Ltd.,Capital Goods,Equity,1.20%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.20%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.20%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.18%
Tata Motors Ltd.,Automobile,Equity,1.17%
The Indian Hotels Company Ltd.,Services,Equity,1.11%
Indian Bank,Financial,Equity,1.06%
Power Grid Corporation Of India Ltd.,Energy,Equity,1.01%
Eicher Motors Ltd.,Automobile,Equity,0.97%
Cipla Ltd.,Healthcare,Equity,0.96%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.96%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.93%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.91%
Coal India Ltd.,Energy,Equity,0.89%
Bank Of Baroda,Financial,Equity,0.88%
The Federal Bank Ltd.,Financial,Equity,0.86%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.85%
Tata Steel Ltd.,Metals & Mining,Equity,0.84%
Alkem Laboratories Ltd.,Healthcare,Equity,0.74%
Asian Paints Ltd.,Chemicals,Equity,0.73%
Trent Ltd.,Services,Equity,0.70%
Jyoti CNC Automation Ltd.,Capital Goods,Equity,0.69%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.69%
Shriram Finance Ltd,Financial,Equity,0.68%
ABB India Ltd.,Capital Goods,Equity,0.67%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.65%
KPIT Technologies Ltd.,Technology,Equity,0.65%
Indian Oil Corporation Ltd.,Energy,Equity,0.65%
3M India Ltd.,Diversified,Equity,0.59%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.58%
The Phoenix Mills Ltd.,Construction,Equity,0.57%
Sundaram Finance Ltd.,Financial,Equity,0.57%
Cummins India Ltd.,Capital Goods,Equity,0.56%
Samvardhana Motherson International Ltd.,Automobile,Equity,0.55%
Titan Company Ltd.,Consumer Discretionary,Equity,0.55%
Apeejay Surrendra Park Hotels Ltd.,Services,Equity,0.53%
MRF Ltd.,Automobile,Equity,0.52%
NMDC Ltd.,Metals & Mining,Equity,0.51%
Lupin Ltd.,Healthcare,Equity,0.50%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.50%
Abbott India Ltd.,Healthcare,Equity,0.49%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.48%
DLF Ltd.,Construction,Equity,0.47%
Nestle India Ltd.,Consumer Staples,Equity,0.46%
Ashok Leyland Ltd.,Automobile,Equity,0.45%
Tech Mahindra Ltd.,Technology,Equity,0.45%
ICICI Lombard General Insurance Comapny Ltd.,Insurance,Equity,0.45%
Indian Railway Catering And Tourism Corporation Ltd.,Services,Equity,0.44%
Indusind Bank Ltd.,Financial,Equity,0.40%
United Spirits Ltd.,Consumer Staples,Equity,0.39%
ACC Ltd.,Construction,Equity,0.38%
United Breweries Ltd.,Consumer Staples,Equity,0.35%
Medi Assist Healthcare Services Ltd.,Services,Equity,0.35%
Tata Power Company Ltd.,Energy,Equity,0.34%
JSW Infrastructure Ltd.,Services,Equity,0.33%
Shree Cement Ltd.,Construction,Equity,0.32%
Reserve Bank of India,Financial,T-Bills,0.26%
Bajaj Auto Ltd.,Automobile,Equity,0.01%
